attributnamn	value	Definition
provtagningsmetod_tx	InsGronsaker	Insamling av grönsaker (LIVSMEDEL)
provtagningsmetod_tx	InsHastGodsel_Loparb	Insamling av hästgödsel på löparbanor (GÖDSEL)
provtagningsmetod_tx	InsHumSerum	Insamling av humant serum (HUMAN EXPONERING)
provtagningsmetod_tx	InsKilfrostABC2000_Avisn_Flygpl	Insamling av Kilfrost ABC-2000  (avisningsvätska, flygplats) (PRODUKTER)
provtagningsmetod_tx	InsKilfrostDFPLUS80-Avisn-Flygpl	Insamling av Kilfrost DF PLUS (80) (avisningsvätska, flygplats) (PRODUKTER)
provtagningsmetod_tx	InsKott	Insamling av kött (LIVSMEDEL)
provtagningsmetod_tx	InsKyckling-fett	Insamling av kyckling-fett (LIVSMEDEL)
provtagningsmetod_tx	InsLamm-fett	Insamling av lamm-fett (LIVSMEDEL)
provtagningsmetod_tx	InsLax	Insamling av lax (LIVSMEDEL)
provtagningsmetod_tx	InsLax-Bottenhavet	Insamling av lax-Bottenhavet (LIVSMEDEL)
provtagningsmetod_tx	InsLax-Bottenviken	Insamling av lax-Bottenviken (LIVSMEDEL)
provtagningsmetod_tx	InsLax-Norsk_odlad	Insamling av lax-Norsk, odlad (LIVSMEDEL)
provtagningsmetod_tx	InsLax-Vanern	Insamling av lax-Vänern (LIVSMEDEL)
provtagningsmetod_tx	InsLax-eg_Ostersjon	Insamling av lax-egentliga Östersjön (LIVSMEDEL)
provtagningsmetod_tx	InsLax-odlad	Insamling av lax-odlad (LIVSMEDEL)
provtagningsmetod_tx	InsLax-vild	Insamling av lax-vild (LIVSMEDEL)
provtagningsmetod_tx	InsLaxkotlett	Insamling av laxkotlett (LIVSMEDEL)
provtagningsmetod_tx	InsMatfett	Insamling av matfett (LIVSMEDEL)
provtagningsmetod_tx	InsMejeriprodukter	Insamling av mejeriprodukter (LIVSMEDEL)
provtagningsmetod_tx	InsMjolk	Insamling av mjölk (LIVSMEDEL)
provtagningsmetod_tx	InsMobileDTEHMOOil-Vattkr	Insamling av Mobile DTE Heavy medium oil (vattenkraftsstation) (PRODUKTER)
provtagningsmetod_tx	InsMobileJetoilIISynEngOil_Flygpl	Insamling av Mobile jet oil II synthetic jet engine oil (flygplats) (PRODUKTER)
provtagningsmetod_tx	InsMusslor-Vastkusten	Insamling av musslor-Västkusten (LIVSMEDEL)
provtagningsmetod_tx	InsMusslor-konserv	Insamling av musslor-konserv (LIVSMEDEL)
provtagningsmetod_tx	InsNotboskap	Insamling från nötboskapsgård (GÖDSEL)
provtagningsmetod_tx	InsNotboskap-AvrinnBetesm	Nötboskap-Insamling av avrinning från betesmark (GÖDSEL)
provtagningsmetod_tx	InsNotkotts-fett	Insamling av nötkötts-fett (LIVSMEDEL)
provtagningsmetod_tx	InsOring-Vanern	Insamling av Öring-Vänern (LIVSMEDEL)
provtagningsmetod_tx	InsPiggvar-Ostersjon	Insamling av piggvar-Östersjön (LIVSMEDEL)
provtagningsmetod_tx	InsPotatis	Insamling av potatis (LIVSMEDEL)
provtagningsmetod_tx	InsSkydrol500B4_HydrOil_Flygpl	Insamling av Skydrol 500B4 (hydraulolja, flygplats) (PRODUKTER)
provtagningsmetod_tx	InsSpillolja-Bilar	Insamling av spillolja-bilar (PRODUKTER)
provtagningsmetod_tx	InsSpillolja-Lastbilar	Insamling av spillolja-lastbilar (PRODUKTER)
provtagningsmetod_tx	InsSpillolja-Traktorer	Insamling av spillolja-traktorer (PRODUKTER)
provtagningsmetod_tx	InsSpillolja-Vagmaskiner	Insamling av spillolja-vägmaskiner (PRODUKTER)
provtagningsmetod_tx	InsStromming	Insamling av strömming (LIVSMEDEL)
provtagningsmetod_tx	InsStromming-hel	Insamling av strömming-hel (LIVSMEDEL)
provtagningsmetod_tx	InsStrommingsfile	Insamling av strömmingsfilé (LIVSMEDEL)
provtagningsmetod_tx	InsSvin-fett	Insamling av svin-fett (LIVSMEDEL)
provtagningsmetod_tx	InsSvinfarm	Insamling från svinfarm (GÖDSEL)
provtagningsmetod_tx	InsSvinfarm_FastGodsel	Insamling från svinfarm - fast gödsel (GÖDSEL)
